dms,epoch,avg_zero_shot_fitness_spearman
CBX4_HUMAN_Tsuboyama_2023_2K28,-1,0.6815663346500896
CBX4_HUMAN_Tsuboyama_2023_2K28,0,0.5699882071347514
CBX4_HUMAN_Tsuboyama_2023_2K28,1,0.5259411074108007
CBX4_HUMAN_Tsuboyama_2023_2K28,2,0.5436821403683322
CBX4_HUMAN_Tsuboyama_2023_2K28,3,0.5516939152930057
CBX4_HUMAN_Tsuboyama_2023_2K28,4,0.5538403173470665
CCDB_ECOLI_Adkar_2012,-1,0.4658547052321714
CCDB_ECOLI_Adkar_2012,0,0.47845166549960355
CCDB_ECOLI_Adkar_2012,1,0.47914211091542114
CCDB_ECOLI_Adkar_2012,2,0.4155330628165724
CCDB_ECOLI_Adkar_2012,3,0.3394226213925194
CCDB_ECOLI_Adkar_2012,4,0.2914067395640742
CCDB_ECOLI_Tripathi_2016,-1,0.5115258710479207
CCDB_ECOLI_Tripathi_2016,0,0.5181477170043018
CCDB_ECOLI_Tripathi_2016,1,0.5451431567809171
CCDB_ECOLI_Tripathi_2016,2,0.523250588883309
CCDB_ECOLI_Tripathi_2016,3,0.4677097098514146
CCDB_ECOLI_Tripathi_2016,4,0.46516129281522045
CCR5_HUMAN_Gill_2023,-1,0.34750597991136656
CCR5_HUMAN_Gill_2023,0,0.34064228413628356
CCR5_HUMAN_Gill_2023,1,0.31598642270535326
CCR5_HUMAN_Gill_2023,2,0.2913883772939332
CCR5_HUMAN_Gill_2023,3,0.2696824830753601
CCR5_HUMAN_Gill_2023,4,0.2593964806750461
CD19_HUMAN_Klesmith_2019_FMC_singles,-1,0.04987904403897395
CD19_HUMAN_Klesmith_2019_FMC_singles,0,0.032120342982431674
CD19_HUMAN_Klesmith_2019_FMC_singles,1,0.03871994046994052
CD19_HUMAN_Klesmith_2019_FMC_singles,2,0.06328756238527823
CD19_HUMAN_Klesmith_2019_FMC_singles,3,0.11294081646173121
CD19_HUMAN_Klesmith_2019_FMC_singles,4,0.14265381335606944
CP2C9_HUMAN_Amorosi_2021_abundance,-1,0.6345104943427199
CP2C9_HUMAN_Amorosi_2021_abundance,0,0.601242749709746
CP2C9_HUMAN_Amorosi_2021_abundance,1,0.5743297770159117
CP2C9_HUMAN_Amorosi_2021_abundance,2,0.5528010337299042
CP2C9_HUMAN_Amorosi_2021_abundance,3,0.5486325425983457
CP2C9_HUMAN_Amorosi_2021_abundance,4,0.548755798054273
CP2C9_HUMAN_Amorosi_2021_activity,-1,0.6789040699528627
CP2C9_HUMAN_Amorosi_2021_activity,0,0.6330769463088588
CP2C9_HUMAN_Amorosi_2021_activity,1,0.5889101704827593
CP2C9_HUMAN_Amorosi_2021_activity,2,0.57013917788184
CP2C9_HUMAN_Amorosi_2021_activity,3,0.562228258013248
CP2C9_HUMAN_Amorosi_2021_activity,4,0.562910389983532
CSN4_MOUSE_Tsuboyama_2023_1UFM,-1,0.4841494865703043
CSN4_MOUSE_Tsuboyama_2023_1UFM,0,0.4174704325618666
CSN4_MOUSE_Tsuboyama_2023_1UFM,1,0.407881733563598
CSN4_MOUSE_Tsuboyama_2023_1UFM,2,0.41489752790269047
CSN4_MOUSE_Tsuboyama_2023_1UFM,3,0.42739818935585105
CSN4_MOUSE_Tsuboyama_2023_1UFM,4,0.43591958358634236
CUE1_YEAST_Tsuboyama_2023_2MYX,-1,0.5466360682636131
CUE1_YEAST_Tsuboyama_2023_2MYX,0,0.5471057686174711
CUE1_YEAST_Tsuboyama_2023_2MYX,1,0.5478340358414285
CUE1_YEAST_Tsuboyama_2023_2MYX,2,0.5524505842519363
CUE1_YEAST_Tsuboyama_2023_2MYX,3,0.554966735519995
CUE1_YEAST_Tsuboyama_2023_2MYX,4,0.5582230305291236
D7PM05_CLYGR_Somermeyer_2022,-1,0.0499496341461066
D7PM05_CLYGR_Somermeyer_2022,0,0.0608020071108137
D7PM05_CLYGR_Somermeyer_2022,1,0.09034256118242211
D7PM05_CLYGR_Somermeyer_2022,2,0.17138916644717392
D7PM05_CLYGR_Somermeyer_2022,3,0.24267719720130093
D7PM05_CLYGR_Somermeyer_2022,4,0.3084967190764109
DLG4_HUMAN_Faure_2021,-1,0.5840888179461902
DLG4_HUMAN_Faure_2021,0,0.4918707955950546
DLG4_HUMAN_Faure_2021,1,0.4556551984366906
DLG4_HUMAN_Faure_2021,2,0.4464981468223918
DLG4_HUMAN_Faure_2021,3,0.4413224122568595
DLG4_HUMAN_Faure_2021,4,0.43439913928151186
DLG4_RAT_McLaughlin_2012,-1,0.5430295593983422
DLG4_RAT_McLaughlin_2012,0,0.39324625272533315
DLG4_RAT_McLaughlin_2012,1,0.3743401718721944
DLG4_RAT_McLaughlin_2012,2,0.3652934376308243
DLG4_RAT_McLaughlin_2012,3,0.3558714801496804
DLG4_RAT_McLaughlin_2012,4,0.3414148286864804
DN7A_SACS2_Tsuboyama_2023_1JIC,-1,0.33687193327860293
DN7A_SACS2_Tsuboyama_2023_1JIC,0,0.3373580650206213
DN7A_SACS2_Tsuboyama_2023_1JIC,1,0.3374382414326295
DN7A_SACS2_Tsuboyama_2023_1JIC,2,0.3378965590537545
DN7A_SACS2_Tsuboyama_2023_1JIC,3,0.3381296707182995
DN7A_SACS2_Tsuboyama_2023_1JIC,4,0.3393358211434719
DNJA1_HUMAN_Tsuboyama_2023_2LO1,-1,0.8031422294031612
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0,0.7761310203707721
DNJA1_HUMAN_Tsuboyama_2023_2LO1,1,0.713345818388496
DNJA1_HUMAN_Tsuboyama_2023_2LO1,2,0.6754977466005067
DNJA1_HUMAN_Tsuboyama_2023_2LO1,3,0.6708626068370741
DNJA1_HUMAN_Tsuboyama_2023_2LO1,4,0.6615242562107505
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,-1,0.531355882274386
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0,0.5543938900023673
